isotope,omega_eff_cm-1,mu,k_eff,r_eff,Lambda_HH
H2,4158.55,0.503912516035,513.4394570808789,0.04413217988729939,1.0
D2,2994.94,1.007050888925,532.203724683022,0.043347199557762915,0.9822129717693284
T2,2463.0,1.5080246388499998,538.998431058503,0.0430731119148585,0.9760023643711814
